year,state,act,jim_crow
1900,South Carolina,"Whereas, It is deemed advisable that there shall be a State Reformatory in this State for the custody and confinement of criminals under the age of sixteen years; therefore, Section 1. Be it enacted by the General Assembly of the State of South Carolina, That the Board of Directors and Superintendent of the State Penitentiary are hereby authorized and required to set apart so much of the State farm in the County of Lexington as may be necessary for such Reforma- tory.",0
1900,South Carolina,They shall also provide suitable buildings and stockade for the safe-keeping and comfort of persons sentenced thereto.,0
1900,South Carolina,Sec. 2.,0
1900,South Carolina,"The Superintendent of the Penitentiary is authorized to use any money on hand, or that may accrue out of the profits of the State Penitentiary, to defray the expenses incurred in providing such buildings and stockade and other appurtenances to the State Reformatory Farm.",0
1900,South Carolina,Sec. 3.,0
1900,South Carolina,"He shall also appoint, as Warden or Overseer, a per- son who, from practical experience, possesses the ability and qualifications necessary to successfully carry on the industries of the Rcformatory, and to enforce and maintain proper discipline therein, and shall remove the same at will.",0
1900,South Carolina,Salary of the Warden shall be paid out of the profits of the State Penitentiary.,0
1900,South Carolina,Sec. 4.,0
1900,South Carolina,The Board of Directors and Superintendent of the Penitentiary shall make rules and regulations for the government of the Reformatory.,0
1900,South Carolina,Sec. 5.,0
1900,South Carolina,"The Superintendent of the Penitentiary shall place in the Reformatory all male criminals, under sixteen years of age, who shall be legally sentenced to said Reformatory on conviction of any criminal offence in any Court having jurisdiction thereof and punishable by imprisonment in the State Penitentiary.",0
1900,South Carolina,He shall also remove all such convicts now in the Penitentiary as soon as existing circumstances will allow.,0
1900,South Carolina,"The discipline to be observed in the said prison shall be reformatory, and the Warden shall have power to use such means of reformation, consistent with the improvement of the inmates, as The may be prescribed by the Board and Superintendent.",0
1900,South Carolina,Superintendent shall provide for the instruction of the inmates in morals as well as useful labor.,0
1900,South Carolina,The white convicts shall be kept and employed separately from the colored convicts.,1
1900,South Carolina,"Approved the 19th day of February, A. D. 1900.",0
1900,South Carolina,"AN ACT to AMEnpD AN Act ENTITLED ‚ÄúAn Act To REQUIRE ALL RAILROADS AND RAILROAD COMPANIES OPERATING TRAINS AND DoING BUSINESS IN THIS STATE TO PROVIDE AND OPERATE SEPARATE COACHES, OR SEPARATE APART- MENTS IN CoAcHES, FOR THE ACCOMMODATION AND TRANSPORTATION OF WHITE AND COLORED PASSENGERS IN THE STATE,‚Äù APPROVED THE I9TH Day or FEesRuARY, A. D. 1898.",1
1900,South Carolina,"Section 1. Be it enacted by the General Assembly of the State of South Carolina, That the title of said Act be, and the same is hereby, amended by striking out after the words ‚Äúsepa- rate coaches‚Äù the words ‚Äúor separate apartments in coaches ;‚Äù so that the same shall read as follows: ‚ÄúAn Act to require all railroads and railroad companies operating trains and doing business in this State to provide and operate separate coaches for the accommodation and transportation of white and colored passengers in the State.‚Äù Sec. 2. That section 1 of said Act be, and the same is hereby, amended by striking out after the word ‚Äúfurnish,‚Äù in said sec- tion, the words ‚Äúseparate apartments in first class coaches or separate first coaches ;‚Äù so that the said section shall read: ‚ÄúSection 1. Be it enacted by the General Assembly of the State of South Carolina, That all railroads and railroad com- panies engaged in this State as common carriers of passengers for hire shall furnish separate coaches for the accommodation of white and colored passengers: Provided, Equal accommo- dations shall be supplied to all persons, without distinction of race, color or previous condition, in such coaches: Provided, further, That all first class coaches shall be provided with a compartment at each end of such coaches; said compartment shall be provided with seats for three or more persons; on one compartment shall be printed the words ‚ÄúFor Females‚Äù and the other ‚ÄúFor Males.‚Äù Sec. 3. That sections 2 and 6 of said Act be, and the same are hereby, repealed; so that, as amended, said Act shall read: ‚ÄúAn Act to require all railroads and railroad companies operating trains and doing business in this State to provide and operate separate coaches for the accommodation and transportation of white and colored passengers in the State.",1
1900,South Carolina,"‚ÄúSection 1. Be it enacted by the General Assembly of the State of South Carolina, That all railroads and railroad com- panies engaged in this State as common carriers of passengers for hire shall furnish separate coaches for the accommodation lof white and colored passengers: Provided, Equal accommo- dations shall be suppfied to all persons, without distinction of race, color or previous condition, in such coaches.",1
1900,South Carolina,"‚ÄúSection 2. That the provisions of this Act shall not apply to nurses on trains, nor to narrow gauge roads, or branch lines, nor roads under forty miles in length, or to relief trains in case of accident, or to through vestibule trains not intended or used for local travel, nor to regular freight trains with a passenger coach attached for local travel, nor to officers or guards trans- porting prisoners, nor to prisoners or lunatics being so trans- ported.",1
1900,South Carolina,"‚ÄúSection 3. That sixty days after the approval of this Act, the rate for transportation of passengers on all railroads to which the provisions of this Act shall apply shall not exceed three cents per mile for every mile traveled; and such railroads shall not be required to have second class coaches or to sell sec- ond class tickets.",1
1900,South Carolina,"‚ÄúSection 4. That it shall be unlawful for the officers or em- ployees having charge of such railroad cars as are provided for by this Act to allow or permit white and colored passengers to occupy the same car except as herein permitted and allowed; and for a violation of this section any such officer or employee shall be guilty of a misdemeanor, and on conviction thereof shall be punished by a fine of not less than twenty-five nor more than one hundred: dollars.",1
1900,South Carolina,"‚ÄúSection 5. That any passenger remaining in said car other than that provided for him, after request by the officer or em- ployee in charge of said car to remove into the car provided for him, shall be guilty of a misdemeanor, and on conviction thereof shall be fined not less than twenty-five dollars nor more than one hundred dollars.",1
1900,South Carolina,Jurisdiction of such offences shall be in the county in which the same cccurs.,1
1900,South Carolina,"The conductor and any and all employees on such cars are hereby clothed with power to eject from the train or car any passenger who refuses to remain in such car as may be assigned and provided for him, or to remove from a car not so assigned and provided.",1
1900,South Carolina,"‚ÄúSection 6. That in case the coach for either white or colored passengers should be full of passengers and another coach cannot be procured at the time, then the conductor in charge of the train shail be, and he is hereby, authorized to set apart so much of the other coach as may be necessary to accommodate the passengers on said train.",1
1900,South Carolina,‚ÄúSection 7.,0
1900,South Carolina,"Should any railroad or railroad company, its agents or employees, violate the provisions of this Act, such railroad or railroad company shall be liable to a penalty of not more than five hundred dollars nor less than three hundred dollars for each violation, to be collected by suit of any citizen of this State, and the penalty recovered shall, after paying all pro- per fees and costs, go into the general fund of the State Treasury.",1
1900,South Carolina,"‚ÄúSection 8. That all Acts and parts of Acts inconsistent with this Act be, and the same are hereby, repealed.‚Äù Approved the 19th day of February, A. D. 1900",0
1903,South Carolina,"AN ACT to AMEND SECTION 2159, VoL. I, OF THE CODE OF LAWS OF THIS STATE, BY ADDING A PROVISO TO SAID SEC- TION IN RELATION TO RAILROADS Section 1.",0
1903,South Carolina,"Be it enacted by the General Assembly of the State of South Carolina, That Section 2159, of Vol. 1, of the Code of Laws of this State, be, and the same is hereby, amended by adding the following proviso to the same: ‚ÄúProvided, That all railroads operated by steam under forty miles in length shall furnish separate apartments for white and colored pass- engers: Provided, further, That where said railroads under forty miles in length operate both a daily passenger train and a freight train, with or without a coach attached, said railroad shall be required to furnish separate apartments for white and olored passengers only on said passenger trains so that said Section when so amended shall read as follows Section 2159.",1
1903,South Carolina,"The provisions of Section 2158 to Section 2162 shall not apply to nurses on trains, nor to.narrow gauge roads or branch lines, nor roads under forty miles in length or to relief trains, in case of accident, or to through vestibule trains not intended or used for local travel, nor to regular freight trains with a passenger coach attached for local travel nor to officers or guards transporting prisoners, nor to prison- ers or lunatics being so transported: Provided, That ll rail- roads operated by steam under.",1
1903,South Carolina,"forty miles in length shall furnish separate apartments for white and colored passengers: Provided, further, That where said railroads under forty miles in length operate both a daily passenger train and a freight train, with or without a coach attached, said railroad shall be required to furnish separate apartments for white and colored passengers only on the said passenger trains.",1
1903,South Carolina,Sec. 2.,0
1903,South Carolina,"That all Acts and parts of Acts inconsistent with this Act are hereby repealed: Provided, The provisions hereof shall not apply to electric railroads Approved the 2d day of March, A. D. 1903",0
1904,South Carolina,"AN ACT to AMEND SEcTION 2158, VoLUME L., CopE or Laws oF SoutH CaROLiNa, 1902, so as To INCLUDE STEAM FER- RIES WITHLN THE PROVISIONS OF SAID SECTION.",1
1904,South Carolina,Section 1.,0
1904,South Carolina,"Be it enacted by the General Assembly of the State of South Carolina, That Section 2158, Volume I., Code of Laws of South Carolina, 1902, be, and the same is hereby, amended by adding the word ‚Äústeam ferries‚Äù after the word ‚Äúand‚Äù and before the word ‚Äúrailroad‚Äô‚Äô on line one of said Section, and by inserting after word ‚Äúcoaches,‚Äù in Section 2158, wherever it appears, the words ‚Äúor cabins,‚Äù so that said Section when so amended shall read as follows: Section 2158.",1
1904,South Carolina,"All railroads and steam ferries, and railroad companies engaged in this State as common carriers of passengers for hire, shall furnish separate coaches or cabins for the accommodation of white and colored passengers: Provided, Equal accommodations shall be supplied to all persons, without distinction of race, color or previous condition, in such coaches or cabins: Provided, further, That all first class coaches and cabins shall be provided with a compartment at each end of such coaches or cabins; said compartments shall be provided with seats for three or more persons ; on one compartment shall be printed the words, ‚ÄúFor Females,‚Äù and on the other, ‚ÄúFor Males.‚Äù Approved the 25th day of February, A. D. 1904.",1
1905,South Carolina,AN ACT to REGULATE THE TRANSPORTATION OF PASSENGERS on Electric RAILways.,0
1905,South Carolina,Section 1.,0
1905,South Carolina,"Be it enacted by the General Assembly of the State of South Carolina, That electric railways outside of the corporate limits of cities and towns shall have authority to separate the races in their cars and the conductors in charge of said cars are hereby authorized and directed to separate the races in said cars under their charge and control.",1
1905,South Carolina,"Sec. 2.. That conductors and other employees of electric railways while in charge of the cars of said railway, are hereby invested with the powers of peace officers and authorized to make arrests as in the case of conductors of steam railroads.",1
1905,South Carolina,Sec. 3.,0
1905,South Carolina,That any conductor who shall fail or refuse to sepa- rate the races as herein provided shall upon conviction be fined not more than one hundred dollars or be imprisoned for not exceeding thirty days for each offense.,1
1905,South Carolina,"‚Äô Approved the 7th day of March, A. D. 1905",0
1908,South Carolina,"an act to amenp section 142 of criminal code of south carolina, so as to require the counties in wuich the cases therein referred to originate to bear the expense of paying witnesses.",0
1908,South Carolina,"be it enacted by the general assembly of the state of south carolina, that section 142 of the criminal code of south carolina be, and the same is hereby, amended by striking out the words state treasurer, on line 17 of said section, and inserting in lieu thereof the words county treasurer of the county in which said case originated; so that said section, when so amended, shall read as follows: section 142.",0
1908,South Carolina,"in the case of any prisoner lawfully in the charge, custody or control of any officer, state, county or municipal, being seized and taken from said officer through his negligence, permission or connivance, by a mob or other unlawful assemblage of persons, and at their hands suffering bodily violence or death, the said officer shall be deemed guilty of a misdemeanor, and, upon true bill found, shall be deposed from his office pending his trial, and, upon conviction, shall forfeit his office, and shall, unless pardoned by the governor, be ineliit gible to hold any office of trust or profit within this state.",2
1908,South Carolina,"shall be the duty of the prosecuting attorney within whose circuit or county the offense may be committed to forthwith institute a prosecution against said officer, who shall be tried in such county in the same circuit, other than the one in which the offense was committed, as the attorney general may elect.",2
1908,South Carolina,"the fees and mileage of all material witnesses, both for the state and the defense, shall be paid by the county treasurer of the county im which said case originated on a certificate issued by the clerk and signed by the presiding judge, showing the amount of said fee due the witness.",0
1908,South Carolina,"approved the 17th day of february, a. d. 1908.",0
1909,South Carolina,"an act to repeal section 1295, volume i, cope or laws 1902, relating to the colored normal, industrial, agricultural and mechanical college of south carolina, and to enlarge the powers of the board of trustees of said college.",1
1909,South Carolina,Â» section 1.,0
1909,South Carolina,"be it enacted by the general assembly of the laws, 1902, be, and the same is hereby, repealed, and that the following be inserted in lieu thereof, to be known as section 1295: the board of trustees of the colored normal, industrial, agricultural and mechanical college of south carolina shali have and are hereby given full and ample power to do and to perform any and all acts whatsoever necessary to effect a complete and final separation of the interests of the state from those of claflin university, and in the continued management of affairs of said college whenever it is found necessary to protect or to promote the interests of the state or whenever the trustees deem it right and proper or expedient for any reason, the authority here given shall authorize said trustees to sell, purchase or exchange real estate.",1
1909,South Carolina,and the said trustees shall fix the time and duration of all vacations to be given the students of the said institution.,0
1909,South Carolina,"the colored normal, industrial, agricultural and mechanical college of south carolina shall have all the rights and privileges possessed heretofore by claflin college and be entitled to receive all the funds set apart for the support of claflin college under the acts of the general assembly of this state, and the said college shall forever be, and remain, free and separate from claflin university and all other colleges, schools or other institutions which are wholly or in part under the direction or control of any church or religious or sectarian denomination or society.",1
1909,South Carolina,"all acts or parts of acts inconsistent herewith be, and the same are hereby, repealed.",0
1909,South Carolina,"approved the 23d day of february, a. d. 1909.",0
1910,South Carolina,an act makxinc it a misdemeanor for any person to dispose of the custody of a white child to a negro.,1
1910,South Carolina,"be it enacted by the general assembly of the state of south carolina, that from and after the approval of this act by the governor it shall be unlawful for any parent, relative or other white person in this state, having the control or custody of any white child, by right of guardianship, natural or acquired or otherwise, to dispose of, give or surrender such white child permanently into the custody, control, maintenance or support of a negro.",1
1910,South Carolina,"any person violating the provisions of section 1 of this act shall be deemed guilty of a misdemeanor, and on conviction shall be fined or imprisoned in the discretion of the presiding judge: provided, the provisions of this act shall not be construed so as to prevent the offices of a negro in the family of any white person as a nurse.",1
1910,South Carolina,"approved the 25th day of february, a. d. 1910.",0
1910,South Carolina," an act to amend an act entitled an act to estasblish an industrial school for boys, and provide for its government and maintenance, approved the 24th day of fesruary, a. d. 1906.",0
1910,South Carolina,"be it enacted by the general assembly of the state of south carolina, that section 4 of an act entitled an act to establish an industrial school for boys, and provide for its government and maintenance, approved the 24th day of february, a. d. 1906, be amended by striking out the words except upon a conviction of crime, and by adding at end thereof the following: that any boy committed under the terms of this act to said institution shall be conveyed by the sheriff, deputy sheriff, or person appointed by the sheriff of the county in which such boy resides, to the said institution at florence and the expense of such conveyance and delivery shall be borne by such county: provided, that the judge who commits or approves the commitment may in his discretion order that such boy be sent to said institution without the attendance of an officer or in such other manner as may be advisable, so that the said section, when so amended, shall read as follows: section 4.",0
1910,South Carolina,"that white boys between his eighth and seventeenth birthday may be voluntarily committed to said institution by their parents or guardians, or the persons having such boys in charge, or who having no parent or guardian, or other person to care for them, may voluntarily commit themselves to its keeping: provided, that in the case of boys committed otherwise than upon a conviction of crime, the warrant of commitment shall not be valid until approved and endorsed.",1
1910,South Carolina,"in writing by a judge of the circuit court, or probate court, or a judge ofa county court, of this state, at chambers, or otherwise, after careful investigation: provided, said board of trustees may, in their discretion, require the payment of reasonable sums to provide for the maintenance and tuition of boys voluntarily committed.",0
1910,South Carolina,"that any commitment under this act, whether by judge, magistrate, parent or guardian, or by any other person having in charge the said boy, or by the said boy, himself, if he have no person to care for him, shall be full and sufficient authority to the trustees, officers and agents of said school, for the detention and keeping therein of the boy so| committed.. that any boy committed to said institution, under the provisions of this act, shall be kept therein until he arrives at the age of twenty-one years, unless sooner dismissed therefrom by order of the board of trustees or released therefrom by order of a judge of the supreme court or circuit court of this state, rendered at chambers or otherwise, in a proceeding in the nature of an application for a writ of habeas corpus.",0
1910,South Carolina,"that from the time of the lawful reception of any boy into said institution, and during his stay therein, said institution shall have exclusive care, custody and control of said boy, and said board shall cause said boy to be instructed in such branches of useful knowledge as may be suited to his years and capacity ; and said board shall also cause said boy to be taught a useful trade or other means of earning an honest livelihood.",0
1910,South Carolina,"that any boy committed under the terms of this act to said institution shall be conveyed by the sheriff, deputy sheriff, or person appointed by the sheriff of the county in which such boy resides, to the said institution at florence, and the expense of such conveyance and delivery shall be borne by such county: provided, that the judge who commits or approves the commitment may, in his discretion, order that such boy be sent to said institution without the attendance of an officer or in.",0
1910,South Carolina,such other manner as may be advisable.,0
1910,South Carolina,"amend section 5, lines one and two, by striking out the words, the ages of eight and sixteen years, and inserting in lieu thereof the words, his eighth and seventeenth birthday, so that said section, when so amended, shall read as follows: section 5.",0
1910,South Carolina,"that when any white boy, between his eighth and seventeenth birthday, shall have been tried and convicted of any crime punishable by imprisonment in the state penitentiary or in jail, or by hard labor for the county, by any court or magistrate of this state, such court or magistrate may, if oi opinion that the interest of such boy would thereby be promoted, sentence such boy to commitment to such school in lev of such imprisonment or hard labor, or he may remit suc!",1
1910,South Carolina,"sentence upon condition that said boy be voluntarily committed by his parents or guardians, or the person having charge of him (or by such boy himself, if he have no one to care for iim) to the custody of said institution until he reach the age o!",0
1910,South Carolina,twenty-one years.,0
1910,South Carolina,"approved the 26th day of ; february, a. d. 1910",0
1911,South Carolina,an act to provwe for working all able-boptep mar convicts on the public works of the varriovu counties.,0
1911,South Carolina,"be it enacted by the general assembly of th state of south carolina, that all able-bodied male convict shall hereafter be sentenced to hard labor on the public work of the county in which convicted, if such county maintain a chain gang, without regard to the length of sentence, and i the alternative to imprisonment in the county jail or stat penitentiary at hard labor: provided, that in any case th presiding judge shall have the power, by special order, tq direct that any person convicted before him be confined i the state penitentiary if it is considered unsafe or unwis for such convict to be committed to county chain gang: pro vided, that the provisions of this act shall not apply to th counties of greenville and clarendon: provided, that a sepa ration of the sexes and races be at all times observed, excep in the penitentiary and on the state farms, and kershav county: provided, further, should the supervisor or commis sioner of any county find that it is inconvenient or impractica ble to work any convict committed to the county chain gang he may turn said convict over to the penitentiary authorities sec. 2.",1
1911,South Carolina,that all acts or parts of acts inconsistent with thi act are hereby repealed.,0
1911,South Carolina,"approved the 18th day of february, a. d. 1911.",0
1912,South Carolina,"an act tro amend an act enxtitltep an act to est.slish an industrial school for boys and provide for id its government and maintenance, approved the 24rn day of fesruary, a. d. 1906.",0
1912,South Carolina,"be it enacted by the general assembly of the state of south carolina, that section 4 of an act entitled an act to establish an industrial school for boys and provide for its government and maintenance, approved the 24th day of february, a. d. 1906, as amended by an act approved the 26th day of february, a. d. 1910, be, and the same is hereby, amended so as to read as follows: section 4. that white boys between their eighth and seven+ teenth birthday may be voluntarily committed to said institution by their parents or guardians, or the persons having such boys in charge, or who having no parent or guardian, or other person to care for them, may voluntarily commit themselves to its keeping: provided, the warrant of commitment shall not be valid until approved and endorsed in writing by a judge of the circuit court, or probate court, or a judge of a county court of this state, at chambers or otherwise, after careful investigation: provided, said board of trustees may, in their discretion, require the payment of reasonable sums to provide for the maintenance and tuition of boys voluntarily committed.",1
1912,South Carolina,"that any commitment under this act, whether by judge, magistrate, parent or guardian, or by any other person having in charge the said boy, or by the said boy himself, if he have no person to care for him, shall be full and sufficient authority to the trustees, officers and agents of said school, for the detention and keeping therein of the boy so committed.",0
1912,South Carolina,"that any boy committed to said institution, under the provisions of this act, shall be kept therein until he arrives at the age of twenty-one years, unless sooner dismissed therefrom by order of the board of trustees or released therefrom by order of a judge of the supreme court or circuit court.",0
1912,South Carolina,"of this state, rendered at chambers or otherwise, in a proceeding in the nature of an application for a writ of habeas corpus.",0
1912,South Carolina,"that from the time of the lawful reception of any boy into said institution, and during his stay therein, said institution shall have exclusive care, custody and control of said boy, and said board shall cause said boy to be instructed in such branches of useful knowledge as may be suited to his years and capacity ; and said board shall also cause said boy to be taught a useful trade or other means of earning an honest livelihood.",0
1912,South Carolina,"that any boy committed under the terms of this act to said institution shall be cconveyed by the sheriff, deputy sheriff, or persom appointed by the sheriff of the county in which such boy resides, to the said institution at florence, and the expense of such conveyance and delivery shall be borne by such county: provided, that the judge who commits or approves the commitment may, in his discretion, order that such boy be sent to said institution without the attendance of an officer or in such other manner as may be advisable.",0
1912,South Carolina,"sec. 2. that section 5 of said act, as amended by an act approved the 26th day of february.",0
1912,South Carolina,"a. d. 1910, be stricken out and the following inserted in lieu thereof: section 5. that when any white boy between his eighth and seventeenth birthday shall be indicted for any crime, before he is tried, by consent of his parents or guardian or person having lawful custody of him, the judge or magistrate before whom he is indicted may commit such boy to the industrial school for training and education, or if after trial and conviction in lieu of sentence for punishment of such crime, the presiding judge or magistrate may commit such boy to said industrial school until released by order of the board of trustees or until released under the terms of section 4.",1
1912,South Carolina,"sec. 3. that section 8 of said act be stricken out and the following inserted in lieu thereof: section 8. that all expenses of maintaining said reformatory at florence shall be borne by the state, except such sums as may be paid by the parents or guardians of certain boys.",0
1912,South Carolina,"sec. 4. that this act shall become effective upon its approval, and ail acts or parts of acts inconsistent with the provisions of this act are hereby repealed.",0
1912,South Carolina,"an act to amend section 2158 of the cope or laws of south caro.tina, 1902, volumme i, as amended by an act approved the 25th day or feesruary, 1904, in reference to toilets.",0
1912,South Carolina,"be it enacted by the general assembly of the state of south carolina, that section 2158 of the code of laws of south carolina, 1902, volume i, as amended by the act approved the 25th day of february, 1904, be, and the same is hereby, amended by striking out all the words following, shall be provided with, in the seventh line of said section and inserting in lieu thereof the words: a toilet compartment at each end of such coaches or cabins; on one of which compartments shall be placed the word â€˜womenâ€™ and on: the other compartment shall be placed the word â€˜men.â€™ the toilet compartments for'womer shall be provided with seats for at least two persons in addition to the hopper seat, and to insert the following words at the end of said section: the railroad commission of this state shall, at a hearing upon due notice to all railroads and steam ferries and railroad companies engaged in this state as common carriers of passengers for hire, to which this act shall apply, determine when said carriers shall make the changes contemplated and provided for in this act: provided, such meeting and hearing shall be held within sixty days from the approval of this act, so that said section, when so} amended, shall read as follows: section 2158.",0
1912,South Carolina,"all railroad and steam ferries and railroad companies engaged in this state as common carriers of passengers for hire, shall furnish separate coaches or cabins for the accommodation of white and colored passengers: provided, equal accommodations shall be supplied to all persons without distinction of race, color or previous condition, in such coaches or cabins: provided, further, that all first-class coaches and cabins shall be provided with a toilet compartment at each end of such coaches or cabins; on one of which comparments shall be placed the word â€˜women,â€™ and on the other compartment shall be placed the word â€˜men;â€™ the toilet compartment for women shall be provided with seats for at least two persons in addition to the hopper seat.",1
1912,South Carolina,"the railroad commission of this state shall, at a hearing upom due notice to all raidroads, steam ferries and railroad companies engaged in this state as common carriers of passengers for hire, to which this section shallâ€™ apply, determine when said carriers shall make the changes contemplated and provided for in this act.",2
1912,South Carolina,this act shall become effective immediately upon its approval.,0
1912,South Carolina,"an act to amend an act entitlep an act to provipe for working all able-bodied male convicts on the pupiic works of the various countties, auproved 1he 18th day of fesruary, a. d. 1911, ry maktne same applicable to clarendon county.",2
1912,South Carolina,"be it enacted by the general assembly of the state of south carolina, that an act entitled an act to provide for working all able-bodied male convicts on the public works of the various counties, approved the 18th day of february, a. d. 1911, be, and the same is hereby, amended by striking out the word counties on line thirteen of section 1, and inserting im lieu thereof the word county, and by striking out the words and clarendon on line thirteen of section 1, so that said act, when so amended, shall read as follows: section 1.",0
1912,South Carolina,"that all able-bodied male convicts shall hereafter be sentenced to hard labor on the public works of the county in which convicted, if such county maintains a chain gang, without regard to the length of sentence, and in the alternative to imprisonment in the county jail or state penitentiary at hard labor: provided, that in any case the presiding judge shall have the power, by special order, to direct that any person convicted before him be confined in the state penitentiary if it is considered unsafe or unwise for such convict to be committed to county chain gang: provided, that the provisions of this act shall not apply to the county of greenville: provided, that a separation of the sexes and races be at all times observed, except in the penitentiary an: on the state farms, and kershaw county: provided, further, should the supervisor or commissioner of any county find that it is inconvenient or impracticable to work any convict committed to the county chain gang, he may turn said convict over to the penitentiary authorities.",1
1912,South Carolina,that all acts or parts of acts inconsistent with this act are hereby repealed.,0
1914,South Carolina,"an act to amend section 104, volume ii, code of laws, 1912, relating to able-bodied male convicts, so as to include the county of greenville in its provisions.",0
1914,South Carolina,"convicts to work roads in greenvilleâ€”be it enacted by the general assembly of the state of south carolina, that section 104 of the criminal code, 1912, be, and the same is hereby, amended by striking out the words counties of greenville and, on line 11 of said section, and inserting in lieu thereof the words county of, so that when said section is so amended it shall read as follows: section 104.",0
1914,South Carolina,"able-bodied male convicts to work on county chain gangs, proviso and exceptionsâ€”in every case in which imprisonment is provided as the punishment, in whole or in part, for 516 statutes at large .",0
1914,South Carolina,"crime, all able-bodied male convicts shall hereafter be sentenced to hard labor on the public works of the county in which convicted.",0
1914,South Carolina,"if such county maintains a chain gang, without regard to the length of sentence, and in the alternative to imprisonment in the county jail or the state penitentiary at hard labor: provided, that in any case the presiding judge shall have the power, by special order, to direct that any person convicted before him be confined in the state penitentiary, if it is considered unsafe or unwise for such convict to be committed to county chain gang: provided, that the provisions of this act shall not apply to the county of clarendon: provided, that a separation of the sexes and races be at all times observed, except in the penitentiary and on the state farm in kershaw county: provided, further, should the supervisor or commissioner of any county find that it is inconvenient or impracticable to work any convict committed to the county chain gang, he may turn said convict over to the penitentiary authorities.",1
1914,South Carolina,"criminal code 1912, section 104.",0
1914,South Carolina,"approved 6th day of february, .\.",0
1914,South Carolina,"an act to provide for the transfer of insane inmates of carolina industrial school to the state hospital f insane, and their expenses.",0
1914,South Carolina,"provision for transfer of inmates of ind school to hospital for insane.â€”de it enacted by the g assembly of the state of south carolina, whenever any inn the south carolina industrial school, located at florence, county of florence, is found demented or insane, this fact aes determined as now provided by law in such cases, such inmat be forthwith conveyed by the said school to the state hospital insane for care and treatment, and the expenses therefor sl borne by the county from which such inmate has been com we approved the 28th day of february, a. d. 1914.",0
1915,South Carolina,an act to compel a separation of the races laboring in textile manufactories section 1.,1
