year,Page_No,state,sentence,jim_crow,Coding (Axton)
1896,63,SOUTH CAROLINA,"the sum so apportioned shall be paid by the state treasurer to the county treasurers of the respective counties in proportion to the respective deficiencies therein on the warrant of the comptrollergeneral, and it shall be apportioned among the school districts of the counties and be disbursed as other school funds; and from and after the 3lst day of december, 1898, the general assembly shall cause to be levied annually on all the taxable property of the state such a tax in addition to the threemill tax and poll tax, together with the net income for school purposes from the sale or license for the sale of alcoholic liquors, as may be necessary to keep the schools open throughout the state for a period of not less than five months in each scholastic year, such tax to be apportioned among the counties in proportion to their deficiencies and be disbursed as other funds.",2,
1896,63,SOUTH CAROLINA,the scholastic year shall begin on the first day of july of each year and end on the thirtieth day of june following.,0,
1896,63,SOUTH CAROLINA,"the state superintendent of education may advertise for bids for all printing required under this act, and shall let the same to the lowest bidder therefor, who shall be required to file with his bid a bond in double the amount of his bid for the faithful performance of the contract.",0,
1896,63,SOUTH CAROLINA,"nothing contained in this act shall be construed to repeal the act of the general assembly creating special and graded school districts, and the provisions of said acts shall apply to said school districts except the special graded school districts in the town of blacksburg, which shall come under the provisions of this act: provided, that the trustees of said school districts and commissioners of the city schools of charleston shall make annual reports to the state superintendent of education in such form and at such time as he shall prescribe: provided, further, whenever under the provisions of law any municipal corporation is authorized to levy a special tax for the support of public schools therein, any person not a resident of said municipal corporation shall be entitled to a credit upon fees for the tuition of his or her children by the amount of such special tax paid by such person.",1,
1896,63,SOUTH CAROLINA,"that the provisions of article 7, chapter xxv, title ix, of volume 1 of the revised statutes, relating to city of charleston and the schools therein, being: 1091 and 1094 inclusive, are hereby reenacted and confirmed: provided, that no general or special school trustees shall hereafter employ any teacher who has not a certificate to teach in the free public schools of the state.",2,
1896,63,SOUTH CAROLINA,"this provision, however, not to affect the employment of any teacher now teaching in any of the schools of the special school districts:.",2,
1896,63,SOUTH CAROLINA,"provided, further, that the trustees of any such school shall always have the right and power to impose any additional examinations and qualifications they may deem proper before or after employing any teachers: provided, also, that all funds of the free public schools of this state other than those arising from the special levy of special school districts shall be paid out of the county treasury upon warrants duly vouched by the school trustees of the respective schools or school districts or otherwise as provided by the laws governing any special school district.",2,
1896,63,SOUTH CAROLINA,"the trustees, officers or persons in charge of all literary, scientific or professional institutions of learning incorporated, supported or aided by the state, of all",0,
1896,64,SOUTH CAROLINA,"schools or private educational institutions, shall on or before the fifteenth day of july in each year make a report in writing to the state superintendent of education of such statistics as the superintendent shall prescribe relating to the number of pupils and instructors, courses of study, cost of tuition and the general condition of the institution or school under their charge.",0,
1896,64,SOUTH CAROLINA,"the superintendent shall prepare blank forms of inquiry for such statistics, and shall send the same to every such institution or school on or before the 10th day of may in each year; and so much of said information as he may deem proper be incorporated in his annual report.     approved the nin",0,
1896,64,SOUTH CAROLINA,"th day of march, a. d. 1896.",0,
1896,64,SOUTH CAROLINA,no. 64. an act relating to the scholarships in the winthrop normal and industrial college.,0,
1896,64,SOUTH CAROLINA,"be it enacted by the general assembly of the state of south carolina, that the board of trustees of the winthrop normal and industrial college shall have the authority to assign the scholarships provided for that institution by the general assembly so that there may be given toa county as many scholarships as such county is entitled to members in the house of representatives at fortyfour dollars each, instead of one scholarship at one hundred and fifty dollars as at present.",0,
1896,64,SOUTH CAROLINA,these scholarships shall be awarded upon competitive examination by the state board of education.,0,
1896,64,SOUTH CAROLINA,"that all acts and parts of acts contrary to this act shall be, and the same are hereby, repealed.     approved the nin",0,
1896,64,SOUTH CAROLINA,"th day of march, a. d. 1896.",0,
1896,64,SOUTH CAROLINA,"no. 65. an act relating to the severance of claflin college from claflin university and the establishment of a normal, industrial, o agricultural and mechanical college for the colored race.",1,
1896,64,SOUTH CAROLINA,"be it enacted by the general assembly of the state of south carolina, that claflin college be, and is hereby, severed from claflin university: provided, that",1,
