id,law_type,year,state,sentence,length,start_page,end_page,jim_crow,Notes,Labeler
18920017,Acts,1892,SOUTH CAROLINA,"Be it enacted by the Senate and House of Repre- sentatives of the State of SOUTH CAROLINA, now met and sitting in General Assembly, and by the authority of the same, That it shall be the duty of each Circuit Judge, when disabled, by sick- ness or other cause, to hold any Court to which he may be assigned, to give, or cause to be given, prompt notice of such in- ability or disability to the Chief Justice, so that his place may be temporarily filled and the Court held according to law.",500,48,48,0,,Morgan
18920018,Acts,1892,SOUTH CAROLINA,"2. That all Acts and parts of Acts inconsistent with this Act be, and the same are hereby, repealed.",100,48,48,0,,Morgan
18920019,Acts,1892,SOUTH CAROLINA,AN ACT To REQquIRE ALL State INSTITUTIONS OF HIGHER LEARNING TO REPORT ANNUALLY TO THE STATE SUPERIN- TENDENT OF EDUCATION.,130,48,48,0,,Morgan
18920020,Acts,1892,SOUTH CAROLINA," Be it enacted by the Senate and House of Repre- sentatives of the State of SOUTH CAROLINA, now met and sitting in General Assembly, and by the authority of the same, That on and after the passage of this Act it shall be the duty of the authorities of all State institutions of higher learning, in addi- tion to the annual report required by law to be made to the Gen- eral Assembly, to make an annual report, on or before the first day of September, to the State Superintendent of Education, embracing a detailed account of the operations of such institu- tions, including the expenditure of the public moneys for the current scholastic year, which reports, or so much thereof as the State Superintendent of Education may deem proper, shall be included in his Annual Report to the Legislature, Src.",811,48,49,0,,Morgan
18920021,Acts,1892,SOUTH CAROLINA,"2. That all Acts or parts of Acts inconsistent with this Act be, and the same are hereby, repealed.",99,49,49,0,,Morgan
18920022,Acts,1892,SOUTH CAROLINA,"A JOINT RESOLUTION To APPROPRIATE THE SUM OF EIGHT Hunprep Do.iars, ir So MucH BE NEcEssaRyY, TO Com- PLETE THE CONFEDERATE ROLLS.",130,49,49,2,Confederate ,Morgan
18920023,Acts,1892,SOUTH CAROLINA," Be i resolved by the Senate and House of Repre- sentatives of the State of SOUTH CAROLINA, now met and sitting in General Assembly, and by the authority of the same, That the sum of eight hundred dollars be, and the said sum is hereby, appropriated, if so much be necessary, for the completion of the Confederate Rolls, which sum, or so much thereof as may be ne- cessary, shall be paid by the State Treasurer out of any funds not otherwise appropriated on the order of the Adjutant-General and warrant thereon of the Comptroller-General.",550,49,49,0,,Morgan
18920024,Acts,1892,SOUTH CAROLINA,"A JOINT RESOLUTION to Provipr ror REPAIRING OR REPLACING THE ToMB OF GENERAL FRANCIS MARION, IN BERKELEY COUNTY.",112,49,49,0,,Morgan
18920025,Acts,1892,SOUTH CAROLINA,"Whereas the marble slab upon the tomb of General Francis Marion, in Berkeley County, has been broken and the tomb is sadly in need of repairs: And, whereas, It is becoming and proper that the place of burial of the distinguished soldier should be marked by an appropriate tomb, suitably inscribed, and that the broken slab should be preserved : SEcTION 1. Be it resolved by the Senate and House of Repre- sentatives of the State of SOUTH CAROLINA, now met and sitting in General Assembly, and by the authority of the same, That the sum of six hundred dollars, if so much be necessary, be, and the same is hereby, appropriated for the repairing or replacing the tomb of General Francis Marion, and suitably inscribing same, in Berkeley County, where the remains are buried.",774,49,50,0,,Morgan
18920026,Acts,1892,SOUTH CAROLINA,"2. That the Comptroller-CGeneral be, and is hereby, authorized and required to draw his warrant upon the State Treasurer, when so directed by the Governor of the State, in favor of such person or persons who shall contract to do such work, for such sum or sums, not exceeding the said sum of six hundred dollars, as may be due to said persons under contract with the Governor as aforesaid.",389,50,50,0,,Morgan
18920027,Acts,1892,SOUTH CAROLINA," That the Governor of the State is hereby authorized and required to call for bids for the repairs or replacing of said tomb and to contract for the same: Provided, The cost shall not exceed the sum of six hundred dollars.",229,50,50,0,,Morgan
18920028,Acts,1892,SOUTH CAROLINA,A JOINT RESOLUTION to PROVIDE FOR THE CALLING OF A CONSTITUTIONAL CONVENTION.,77,50,50,2,"Reasons for calling constitutional convention unclear, but 2 because followed by 1895 convention successful in segregation + disenfranchisement ",Morgan
18920029,Acts,1892,SOUTH CAROLINA," Be it resolved by the Senate and House of Repre- sentatives of the State of SOUTH CAROLINA, now met and sitting in General Assembly, and by the authority of the same, That the question of calling a Constitutional Convention of the people of SOUTH CAROLINA be submitted to the qualified electors of said State at the next general election, and if a majority of the electors qualified to vote for members of the General Assembly, voting on said question, vote in favor of such Convention, it shall be the duty of the General Assembly, at their next session, to designate the time and place and to prescribe the manner of holding said Convention.",654,50,50,2,,Morgan
18920030,Acts,1892,SOUTH CAROLINA,"2. That the question of calling said Constitutional Con- vention shall be submitted to said qualified electors in the follow- ing manner: Those in favor of a Constitutional Convention shall deposit a ballot with the following words plainly written or printed thereon, to wit: ‘‘Constitutional Convention—Yes.” Those opposed to calling said Convention shall deposit a ballot with the following words plainly written or printed thereon, to wit: “Constitutional Convention—No.” Approved December 19th, A. D. 1892. AN ACT RecuLaTING CHATTEL MORTGAGES AND THE Pay- MENT AND SATISFACTION THEREOF.",592,50,51,2,,Morgan
18920031,Acts,1892,SOUTH CAROLINA," Be it enacted by the Senate and House of Repre- sentatives of the State of SOUTH CAROLINA, now met and sitting in General Assembly, and by the authority of the same, That the mortgagor of.",199,51,51,0,,Morgan
18920032,Acts,1892,SOUTH CAROLINA,"any chattel shall have the right to redeem the property mortgaged by him at any time before sale by the mort- gagee by paying the mortgage debt and any costs incurred in attempting to enforce its payment, and a tender made by the mortgagor of an amount sufficient to pay said debt and costs, if not accepted, shall render the mortgage and void.",344,51,51,0,,Morgan
18920033,Acts,1892,SOUTH CAROLINA,"Approved December 19th, A. D. 1892. AN ACT ro REGULATE THE COMPENSATION OF SHERIFFS FOR CoNVEYING LUNATICS TO THE ASYLUM.",121,51,51,0,,Morgan
18920034,Acts,1892,SOUTH CAROLINA," Be it enacted by the Senate and House of Repre- sentatives of the State of SOUTH CAROLINA, now met and sitting in General Assembly, and by the authority of the same, That after the passage of this Act Sheriffs shall be allowed two dollars per day and actual necessarily incurred expenses for conveying lunatics to the Asylum: Provided however, The Sheriff may in extreme cases call in not more than two assistants or deputies, and be allowed compensation therefor at one dollar per day and actual additional expenses necessarily incurred.",549,51,51,0,,Morgan
18920035,Acts,1892,SOUTH CAROLINA,2. That said fees and expenses shall be paid by the County Commissioners as other fees of Sheriffs and Constables are now paid.,127,51,52,0,,Morgan
18920036,Acts,1892,SOUTH CAROLINA,"3. That all Acts or parts of Acts inconsistent with this Act be, and the same are hereby, repealed.",99,52,52,0,,Morgan
18920037,Acts,1892,SOUTH CAROLINA,"Approved December 19th, A. D. 1892. AN ACT to AMEND SECTION 1 oF AN AcT ENTITLED “‘AN ACT To AMEND AN Act ENTITLED ‘AN AcT TO LIMIT THE ScHoot AGES oF PUPILS ATTENDING THE FREE PUBLIC ScHooLs,’ APPROVED DECEMBER 22ND, 1883,” APPROVED DECEMBER 26TH, A. D. 1885.",260,52,52,0,,Morgan
18920038,Acts,1892,SOUTH CAROLINA,"Be it enacted by the Senate and House of Repre- sentatives of the State of SOUTH CAROLINA, now met and sitting in General Assembly, and by the authority of the same, That Section 1 of an Act entitled “‘An Act to amend an Act entitled ‘An Act to limit the ages of pupils attending the free public schools,’ approved December 22nd, 1883,” approved December 26th, 1885, be, and the same is hereby, amended by striking out the word ‘eighteen ” in the third line of said Section and insert- ing in lieu thereof the words ‘‘ twenty-one,” and by adding to said Section after the words ‘‘ public schools” in the same line the words ‘‘ of this State.” So that said Section when amended shall read as follows : SEcTION 1. That from and after the passage of this Act it shall not be lawful for any person who is less than six or more than twenty-one years of age to attend any of the free public schools of this State.",918,52,52,0,,Morgan
18920039,Acts,1892,SOUTH CAROLINA,"— AN ACT To AMEND TITLE XII, CHAPTER XL, OF RAILROAD CORPORATIONS AND GENERAL RaiLroap Law, AND TO PROVIDE FOR THE REGULATION OF RAILROAD FREIGHT AND PASSENGER TARIFFS IN THIS STATE, TO PREVENT Unsust DIscRIMINATION AND EXTORTION IN THE RATES CHARGED FOR TRANSPORTATION OF PASSENGERS AND FREIGHTS, AND TO PRoHIBIT RAILROAD COMPANIES AND CoRPORATIONS AND LESSEES IN THIS STATE FROM CHARG- ING OTHER THAN JUST AND REASONABLE RATES, AND TO PUNISH THE SAME, AND PRESCRIBE A MODE OF PROCEDURE AND RULES OF EVIDENCE IN RELATION THERETO, PROVID- ING FOR THE ELECTION OF RAILROAD CoMMISSIONERS, AND To PRESCRIBE THEIR POWERS AND DUTIES IN RELATION TO THE SAME.",652,52,52,0,,Morgan
18920040,Acts,1892,SOUTH CAROLINA,"Be it enacted by the Senate and House of Rep- resentatives of the State of SOUTH CAROLINA, now met and sitting in General Assembly, and by the authority of the same, That there shall be three Railroad Commissioners elected in accordance with the provisions hereafter contained ; that is to say: They shall be elected by the present General Assembly for the term of two years, beginning with the first day of January, 1893.",435,52,53,0,,Morgan
18920041,Acts,1892,SOUTH CAROLINA,"At the expiration of said terms they shall be succeeded by their successors in office, who shall have been elected at the next general State election.",150,53,53,0,,Morgan
18920042,Acts,1892,SOUTH CAROLINA,The Commissioners of Elec- tion for the several Counties in the State shall at each general election herein provided for conduct the election of the Commis- sioners as is conducted the election of other State officers other than Governor and Lieutenant-Governor.,262,53,53,0,,Morgan
18920043,Acts,1892,SOUTH CAROLINA,"The term of office of the Commissioners to be elected at the general election of 1894 shall be for two, four and six years, respectively, the term of each Commissioner to be determined by lot, in the presence of the Governor.",225,53,53,0,,Morgan
18920044,Acts,1892,SOUTH CAROLINA,"At the expiration of said terms, respectively, they shall each be succeeded by his successor in office, who shall have been elected at the general election next preceding the date of said expiration.",199,53,53,0,,Morgan
18920045,Acts,1892,SOUTH CAROLINA,"Said Commissioners shall take the oath of office pro- vided by the Constitution and laws of this State for State officers, and shall not, jointly or severally, or in any way, be the holder or holders of any railroad stock or bond.",230,53,53,0,,Morgan
18920046,Acts,1892,SOUTH CAROLINA,"The Governor shall have the power to fill vacancies in the office of Commissioner until the successor in such office for a full term or an unexpired term, as the case may be, shall have been elected at the next ensuing general election and qualified.",250,53,53,0,,Morgan
18920047,Acts,1892,SOUTH CAROLINA,"The salary of each Commissioner shall be twenty-one hundred dollars per annum, to be paid from the Treasury of the State.",121,53,53,0,,Morgan
18920048,Acts,1892,SOUTH CAROLINA,"The expenses of the Commissioners, including salaries, and the salary of their Secretary or Clerk, shall be borne by the several corporations owning or operating railroads in this State according to their gross income propor- tioned to the number of miles in this State, to be apportioned by the Comptroller-General of the State, who, on or before the first day of October in each and every year, shall assess upon each of said corporations its just proportion of such expenses in propor- tion to its gross income for the current year ending on the thir- tieth day of June preceding that on which the assessment is made ; and the said assessment shall be charged up against the said corporations, respectively, under the order and direction of the Comptroller-General, and shall be collected by the several County Treasurers in the manner provided by law for the col- lection of taxes upon each corporation, and shall be paid by the said County Treasurers as collected into the Treasury of the State, in like manner as other taxes collected by them for the State.",1067,53,54,0,,Morgan
18920049,Acts,1892,SOUTH CAROLINA,"The Commissioners and their Secretary shall be trans- ported free of charge, when in the performance of the duties of their office concerning railroads, over all railroads and railroad 4 trains in this State, and they may take with them experts or other agents whose service they may deem to be temporarily of importance, and they shall in like manner be transported free of charge.",382,54,54,0,,Morgan
18920050,Acts,1892,SOUTH CAROLINA,A majority of said Commissioners shall constitute a quorum for the transaction of all business pertaining to their pt office.,125,54,54,0,,Morgan
18920051,Acts,1892,SOUTH CAROLINA,"The Commissioners to be elected under the terms of this Act shall be elected from the State at large: Provided, That any male citizen of this State above the age of twenty-five years shall be eligible to election to the position of Railroad Commissioner, any law or Act of the Legislature to the contrary notwithstand- ing.",323,54,54,0,,Morgan
18920052,Acts,1892,SOUTH CAROLINA,"The said Commissioners shall be furnished with an office, necessary furniture and stationery, and may employ a Sec- 18 retary or Clerk at a salary of twelve hundred dollars per annum The office of said Commissioners bt at the expense of the State.",247,54,54,0,,Morgan
18920053,Acts,1892,SOUTH CAROLINA,"shall be kept in Columbia, and all sums of money authorized to ‘ be paid by this Act out of the State Treasury shall be paid only on the warrant of the Comptroller-General: Provided, That the total sum to be expended by said Commissioners for office rent, - furniture and stationery shall in no case exceed the sum of five hundred dollars ($500), or so much thereof as may be neces- sary, per annum.",399,54,54,0,,Morgan
18920054,Acts,1892,SOUTH CAROLINA,"3. That from and after the passage of this Act, if any railroad corporation organized or doing business in this State under the Act of corporation, or general law of this State now of force, or which may hereafter be enacted, or any railroad corporation organized, or which may hereafter be organized, under the laws of any other State, and doing business in this State, shall charge, collect, demand or receive more than a fair and reasonable rate of toll or compensation for transportation of passengers or freight of any description, or for the use and trans- portation of any railroad car upon its track, or any of its branches, or upon any railroad within this State which it has the right, license or permission to use, operate or control, the same shall be deemed guilty of extortion, and upon conviction thereof shall be fined in a sum not less than one hundred nor more than one thousand dollars, Src.",912,54,55,0,,Morgan
18920055,Acts,1892,SOUTH CAROLINA,"4. That if any railroad corporation, as aforesaid, shall make any unjust discrimination in its rates and charges of toll as compensation for transportation of passengers or freights of any description, or for the use and transportation of any railroad car upon its said road or upon any of the branches thereof, or upon any railroads connected therewith which it has the right, license or permission to operate or control within this State, the same shall be deemed guilty of having violated the provisions of this Act, and upon conviction thereof shall be fined in a sum not less than one hundred nor more than one thousand dollars.",633,55,55,0,,Morgan
18920056,Acts,1892,SOUTH CAROLINA,"5. That the Commissioners elected as hereinbefore pro- vided shall, as provided in the next Section of this Act, make reasonable and just rates of freight and passenger tariffs, to be observed by all railroad companies doing business in this State on the railroads therein ; they shall make reasonable and just rules and regulations to be observed by all railroad companies doing business in this State, as to charges to any and all points for the necessary hauling and delivery of all freights; shall make such just and reasonable rules and regulations as may be necessary for preventing unjust discrimination in the transportation of freight and passengers on the railroads in this State ; shail have the power to make just and reasonable joint rates for all connect- ing roads doing business in this State, as to all traffic or business passing from one of said roads to another, and to require the making of such connection at intersecting points of the sched- ules of trains as the public convenience may in their judgment demand: Provided, however, That before applying joint rates to roads that are not under the management and control of one and the same company the Commissioners shall give thirty days’ notice to said roads of the joint rate contemplated and of its division between said roads, and give hearing to roads desiring to object to the same; shall make reasonable and just rates of charges for use of railroad cars carrying any and all kinds of freight and passengers on said railroad, no matter by whom owned or carried, and shall make just and reasonable rules and regulations to be observed by said railroad companies or railroads, to prevent the giving or paying of any rebate or bonus, directly or indirectly, and from misleading or deceiving the public in any manner as to the real rates charged for freight and passengers: Provided, That nothing in this Act shall be taken as in any manner abridging or controlling the rates for freight charged by any railroad company in this State for carrying freight which comes from or goes beyond the boundaries of the State, and on which freight less than local rates on any railroad carry- ing the same are charged by such railroad, but said railroad com- panies shall possess the same power and right to charge such rates for carrying such freights as they possessed before the pas- sage of this Act; and Commissioners shall have full power, by rules and regulations, to designate and fix the difference in rates of freight and passenger transportation to be allowed for shorter and longer distances on the same or different railroads, and to ascertain what shall be the limit of longer and shorter dis- tances.",2683,55,56,0,,Morgan
18920057,Acts,1892,SOUTH CAROLINA,"6. That the said Railroad Commissioners are hereby authorized and required to make for each of the railroad cor- porations doing business in this State, as soon as practicable, a schedule of just and reasonable rates of charges for transportation of passengers and freights and cars on each of said railroads, and said schedule shall, in suits brought against any such railroad corporations wherein is involved the charges of any such railroad corporation for the transportation of any passenger or freight or cara, or unjust discrimination in relation thereto, be deemed and taken in all Courts of this State as sufficient evidence that the rates therein fixed are just and reasonable rates of charges for the transportation of passengers and freights and cars upon the railroads ; and said Commissioners shall from time to time, and as often as circumstances may require, change and revise said schedule.",906,56,56,0,,Morgan
18920058,Acts,1892,SOUTH CAROLINA,"When any schedule shall have been made or revised it shall be the duty of all such railroad companies to post at all their respective stations, in a conspicuous place, a copy of said schedule for the protection of the people: Provided, That the schedules thus prepared shall not be taken as evidence as herein provided until schedules have been prepared and published as aforesaid for all the railroad companies now organized under the laws of this State, or that may be organized at the time of said publication.",513,56,56,0,,Morgan
18920059,Acts,1892,SOUTH CAROLINA,"All such schedules purporting to be printed and published as aforesaid shall be received and held in all such suits as prima facie the schedules of said Commissioners with- out further proof than the production of the schedule desired to be used as evidence, with a certificate of the Railroad Com- mission that the same isa true copy of the schedule prepared by them for the railroad company or corporation therein named, and that the same has been duly published as required by law: Provided, That thirty days’ notice of any change or revision of the schedule of rates shall first be given to the railroad company to be affected thereby before the same shall go into effect.",676,56,57,0,,Morgan
18920060,Acts,1892,SOUTH CAROLINA,"7. That it shall be the duty of said Commissioners when necessary to investigate so much of the books and papers of all the railroad companies doing business in this State as they may think proper, to ascertain if the rules and regulations as aforesaid have been complied with, and to make personal visitations of railroad offices, stations and other places of busi- ness for the purpose of examinations, and to make rules and regulations concerning such examinations, which rules and regulations shall be observed and obeyed as other rules and regulations as aforesaid ; said Commissioners shall also have full power and authority to examine all agents and employees of said railroad companies and other persons under oath and other- wise, in order to procure the necessary information to make just and reasonable rates of freight and passenger tariffs, and to ascertain if such rules and regulations are observed or violated, and to make necessary and proper rules and regulations concern- ing such examinations, and which rules and regulations herein provided for shall be obeyed and enforced as all other rules and regulations provided for in this Act.",1156,57,57,0,,Morgan
18920061,Acts,1892,SOUTH CAROLINA,"That the powers herein conferred upon the Commissioners to fix passenger and freight rates, joint and several, are hereby delegated to them by the General Assembly, as fully as the General Assembly itself could exercise them ; and in arriving at their conclusions and deci- sions as to what are just and reasonable rates, and in making examinations for such purpose, they shall have the powers con- ferred in Sections 1465, 1466, 1467 and 1468 of the General Statutes for securing the attemdance of witnesses, reports and testimony of officers,.agents or employees of railroad companies, and for the production of books and papers; and for violation of the provisions of this Section the same penalties are hereby imposed as are provided in said Sections respectively ; and such witnesses shall receive the compensation prescribed in Section 1465.",847,57,57,0,,Morgan
18920062,Acts,1892,SOUTH CAROLINA,"8. That all contracts and agreements between railroad companies doing business in this State as to rates of freight and passenger tariffs shall be submitted to said Commissioners for inspection and correction, that it may be seen whether or not they are a violation of the law or of the provisions of the Constitution or of this Act, or of the rules and regulations of said Commis- sioners; and all arrangements and agreements whatever as to the division of earnings of any kind by competing railroad companies doing business in this State shall be submitted to aid Commissioners for inspection and approval, in so far as hey affect rules and regulations made by said Commissioners 0 secure to all persons doing business with said companies just nd reasonable rates of freight and passenger tariff; and said ommissioners may make such rules and regulations as to such ontracts and agreements as may be then deemed necessary and proper ; and any such agreements not approved by such Commis- ioners, or by virtue of which rates shall be charged exceeding he rates fixed for freight and passengers, shall be deemed, held and taken to be violations of this Act, and shall be illegal nd void.",1189,57,58,0,,Morgan
18920063,Acts,1892,SOUTH CAROLINA,"9. That if any railroad company doing business in this State, by its agents or employees, shall be guilty of a viclation bf the rules and regulations provided and prescribed by said ommissioners, and if, after due notice of such violation given o the principal officer thereof, ample and full recompense for he wrong or injury done thereby to any person or corporation, may be directed by said Commissioners, shall not be made ithin thirty days from the time of such notice, such company hall incur a penalty for each offense of not less than one housand dollars nor more than five thousand dollars, to be fixed by the presiding Judge.",635,58,58,0,,Morgan
18920064,Acts,1892,SOUTH CAROLINA,"An action for recovery of such penalty hall lie in any Court in the State where such violation has becurred or wrong has been perpetrated, and shall be in the ame of the State of SOUTH CAROLINA.",194,58,58,0,,Morgan
18920065,Acts,1892,SOUTH CAROLINA,The Commissioners shall nstitute such action through the Attorney-General or any of the Nolicitors of this State.,113,58,58,0,,Morgan
18920066,Acts,1892,SOUTH CAROLINA,"10. That if any railroad company doing business in this Btate shall, in violation’ of any rule or regulation provided by he Commissioners aforesaid, inflict wrong or injury on any berson, such person shall have a right of action and recovery or such wrong or injury in the County where the same is done m any Court having jurisdiction thereof, and the damages to be ecovered shall be the same as in actions between individuals, xcept that in cases of willful violation of law such railroad ompanies shall be liable to exemplary damages: Provided, hat all suits under this Act shall be brought within twelve months of the commission of the alleged wrong or injury.",663,58,58,0,,Morgan
18920067,Acts,1892,SOUTH CAROLINA,". That in all cases under the provisions of this Act the ules of evidence shall be the same as in civil actions, except s hereinbefore otherwise provided.",161,58,58,0,,Morgan
18920068,Acts,1892,SOUTH CAROLINA,"All fines recovered under he provisions of this Act shall be paid one-half into the State Treasury, to be used for such purposes as the General Assembly may provide, the other half into the County treasury of the County where said case is tried.",247,58,59,0,,Morgan
18920069,Acts,1892,SOUTH CAROLINA,"The remedies now given by law against railroad corporations, and this Act, shall not be con- strued as repealing any Statute giving such remedies.",146,59,59,0,,Morgan
18920070,Acts,1892,SOUTH CAROLINA,"12. That the terms ‘Railroad Corporation” or ‘Rail- road Company ” contained in this Act shall be deemed and taken to mean all corporations, companies or individuals now owning or operating, or which may hereafter own or operate, any railroad, in whole or in part in this State, and the provisions of this Act shall apply to all persons, firms and companies, and to all associa- tions of persons, whether incorporated or otherwise, that shall do business as common carriers upon any of the lines of railroads in this State, (street railways and express companies excepted) the same as to railroad corporations hereinbefore mentioned.",633,59,59,0,,Morgan
18920071,Acts,1892,SOUTH CAROLINA,"13. That all railroad companies in this State shall on demand issue duplicate freight receipts to shippers, in which shall be stated the class or classes of freights shipped, the freight charges over the road giving the receipt, and, so far as prac- ticable, shall state the freight charges over other roads that carry such freight.",332,59,59,0,,Morgan
18920072,Acts,1892,SOUTH CAROLINA,"When the consignee presents the railroad receipt to the agent of the railroad that delivers such freight, such agent shall deliver the articles shipped on payment of the rate charged for the class of freights mentioned in the receipt.",234,59,59,0,,Morgan
18920073,Acts,1892,SOUTH CAROLINA,"If any rail- road company shall violate the provisions of this Act, such rail- road company shall incur a penalty to be fixed and collected as provided in Section 9 of this Act.",177,59,59,0,,Morgan
18920074,Acts,1892,SOUTH CAROLINA,"If any railroad company shall neglect or refuse to comply with the provisions of this Act, or of Title 12, Chapter 40, of the General Statutes, or with the rules and regulations pre- scribed by said Commissioners within the limit of their authority, such company shall:be subject to a writ of mandamus, to be issued by any Justice of the Supreme Court, or Circuit Judge, upon application of the Commissioners, or a majority of them, to require compliance with said laws or said rules and regulations, and failure to comply with said writ of mandamus shall be punishable as for contempt; and for any willful violation of any of said laws, or failure to comply with the requirements of such rules or regulations, the Court may award such costs and counsel fees, on the return of said writs, and after due deliberation thereon, as may be just.",840,59,59,0,,Morgan
18920075,Acts,1892,SOUTH CAROLINA,That the same penalty is hereby imposed for viola- tion of any of the provisions of Section 1514 of the General Statutes as is prescribed in Section 1466 for violation of the pro- visions of that Section.,210,59,60,0,,Morgan
